A9;A11;A12;A13
;;;
295;330;370;410
270;270;270;270
300;345;390;450
270;270;270;270
316;370;430;500
280;280;280;280
333;400;470;560
290;290;290;290
333;400;470;560
290;290;290;290
352;430;510;630
300;300;300;300
352;430;510;630
300;300;300;300
372;470;560;700
310;310;310;310
382;480;570;710
320;320;320;320
414;530;640;800
340;340;340;340
434;550;660;820
360;360;360;360
467;600;730;920
380;380;380;380
497;630;760;950
410;410;410;410
560;710;860;1090
460;460;460;460
620;770;920;1150
520;520;520;520
680;830;980;1210
580;580;580;580
775;950;1120;1380
660;660;660;660
855;1030;1200;1460
740;740;740;740
935;1110;1280;1540
820;820;820;820
1050;1240;1440;1730
920;920;920;920
1180;1370;1570;1860
1050;1050;1050;1050
1340;1560;1770;2090
1200;1200;1200;1200
1490;1710;1920;2240
1350;1350;1350;1350
1655;1900;2130;2470
1500;1500;1500;1500
1805;2050;2280;2620
1650;1650;1650;1650
