P6;P7;P8;P9
;;;
-6;-6;-6;-6
-12;-16;-20;-31
-9;-8;-12;-12
-17;-20;-30;-42
-12;-9;-15;-15
-21;-24;-37;-51
-15;-11;-18;-18
-26;-29;-45;-61
-15;-11;-18;-18
-26;-29;-45;-61
-18;-14;-22;-22
-31;-35;-55;-74
-18;-14;-22;-22
-31;-35;-55;-74
-21;-17;-26;-26
-37;-42;-65;-88
-21;-17;-26;-26
-37;-42;-65;-88
-26;-21;-32;-32
-45;-51;-78;-106
-26;-21;-32;-32
-45;-51;-78;-106
-30;-24;-37;-37
-52;-59;-91;-124
-30;-24;-37;-37
-52;-59;-91;-124
-36;-28;-43;-43
-61;-68;-106;-143
-36;-28;-43;-43
-61;-68;-106;-143
-36;-28;-43;-43
-61;-68;-106;-143
-41;-33;-50;-50
-70;-79;-122;-165
-41;-33;-50;-50
-70;-79;-122;-165
-41;-33;-50;-50
-70;-79;-122;-165
-47;-36;-56;-56
-79;-88;-137;-186
-47;-36;-56;-56
-79;-88;-137;-186
-51;-41;-62;-62
-87;-98;-151;-202
-51;-41;-62;-62
-87;-98;-151;-202
-55;-45;-68;-68
-95;-108;-165;-223
-55;-45;-68;-68
-95;-108;-165;-223
