R6;R7;R8;R9
;;;
-10;-10;-;-
-16;-20;-;-
-12;-11;-;-
-20;-23;-;-
-16;-13;-;-
-25;-28;-;-
-20;-16;-;-
-31;-34;-;-
-20;-16;-;-
-31;-34;-;-
-24;-20;-;-
-37;-41;-;-
-24;-20;-;-
-37;-41;-;-
-29;-25;-;-
-45;-50;-;-
-29;-25;-;-
-45;-50;-;-
-35;-30;-;-
-54;-60;-;-
-37;-32;-;-
-56;-62;-;-
-44;-38;-;-
-66;-73;-;-
-47;-41;-;-
-69;-76;-;-
-56;-48;-63;-63
-81;-88;-126;-163
-58;-50;-65;-65
-83;-90;-128;-165
-61;-53;-68;-68
-86;-93;-131;-168
-68;-60;-77;-77
-97;-106;-149;-192
-71;-63;-80;-80
-100;-109;-152;-195
-75;-67;-84;-84
-104;-113;-156;-199
-85;-74;-94;-94
-117;-126;-175;-224
-89;-78;-98;-98
-121;-130;-179;-228
-97;-87;-108;-108
-133;-144;-197;-248
-103;-93;-114;-114
-139;-150;-203;-254
-113;-103;-126;-126
-153;-166;-223;-281
-119;-109;-132;-132
-159;-172;-229;-287
