T6;T7;T8;T9
;;;
-;-;-;-
-;-;-;-
-;-;-;-
-;-;-;-
-;-;-;-
-;-;-;-
-;-;-;-
-;-;-;-
-;-;-;-
-;-;-;-
-;-;-;-
-;-;-;-
-37;-33;-;-
-50;-54;-;-
-43;-39;-;-
-59;-64;-;-
-49;-45;-;-
-65;-70;-;-
-60;-55;-;-
-79;-85;-;-
-69;-64;-;-
-88;-94;-;-
-84;-78;-;-
-106;-113;-;-
-97;-91;-104;-104
-119;-126;-158;-191
-;-107;-122;-122
-;-147;-185;-222
-;-119;-134;-134
-;-159;-197;-234
-;-131;-146;-146
-;-171;-209;-246
-;-149;-166;-166
-;-195;-238;-281
-;-163;-180;-180
-;-209;-252;-295
-;-179;-196;-196
-;-225;-268;-311
-;-198;-218;-218
-;-250;-299;-348
-;-220;-240;-240
-;-272;-321;-370
-;-247;-268;-268
-;-304;-357;-408
-;-273;-294;-294
-;-330;-383;-434
-;-307;-330;-330
-;-370;-427;-485
-;-337;-360;-360
-;-400;-457;-515
