ZB8;ZB10;ZB11
;;
-40;-40;-40
-54;-80;-100
-50;-50;-50
-68;-98;-125
-67;-67;-67
-89;-125;-157
-90;-90;-90
-117;-180;-200
-108;-108;-108
-135;-178;-218
-136;-136;-136
-169;-220;-266
-160;-160;-160
-193;-244;-290
-200;-200;-200
-239;-300;-360
-242;-242;-242
-281;-342;-402
-300;-300;-300
-346;-420;-490
-;-;-
-;-;-
-;-;-
-;-;-
-;-;-
-;-;-
-;-620;-620
-;-780;-870
-;-700;-700
-;-860;-950
-;-780;-780
-;-940;-1030
-;-880;-880
-;-1065;-1170
-;-960;-960
-;-1145;-1250
-;-1050;-1050
-;-1235;-1340
-;-1200;-1200
-;-1410;-1520
-;-1300;-1300
-;-1510;-1620
-;-1500;-1500
-;-1730;-1860
-;-1650;-1650
-;-1880;-2010
-;-1850;-1850
-;-2100;-2250
-;-2100;-2100
-;-2350;-2500
