a9;a10;a11;a12;a13
;;;;
-270;-270;-270;-270;-270
-295;-310;-330;-370;-410
-270;-270;-270;-270;-270
-300;-318;-345;-390;-450
-280;-280;-280;-280;-280
-316;-338;-370;-430;-500
-290;-290;-290;-290;-290
-333;-360;-400;-470;-560
-290;-290;-290;-290;-290
-333;-360;-400;-470;-560
-300;-300;-300;-300;-300
-352;-384;-430;-510;-630
-300;-300;-300;-300;-300
-352;-384;-430;-510;-630
-310;-310;-310;-310;-310
-372;-410;-470;-560;-700
-320;-320;-320;-320;-320
-382;-420;-480;-570;-710
-340;-340;-340;-340;-340
-414;-460;-530;-640;-800
-360;-360;-360;-360;-360
-434;-480;-550;-660;-820
-380;-380;-380;-380;-380
-467;-520;-600;-730;-920
-410;-410;-410;-410;-410
-497;-550;-630;-760;-950
-460;-460;-460;-460;-460
-560;-620;-710;-860;-1090
-520;-520;-520;-520;-520
-620;-680;-770;-920;-1150
-580;-580;-580;-580;-580
-680;-740;-830;-980;-1210
-660;-660;-660;-660;-660
-775;-845;-950;-1120;-1380
-740;-740;-740;-740;-740
-855;-925;-1030;-1200;-1460
-820;-820;-820;-820;-820
-935;-1005;-1110;-1280;-1540
-920;-920;-920;-920;-920
-1050;-1030;-1240;-1440;-1730
-1050;-1050;-1050;-1050;-1050
-1180;-1260;-1370;-1570;-1860
-1200;-1200;-1200;-1200;-1200
-1340;-1430;-1560;-1770;-2090
-1350;-1350;-1350;-1350;-1350
-1490;-1580;-1710;-1920;-2240
-1500;-1500;-1500;-1500;-1500
-1655;-1750;-1900;-2130;-2470
-1650;-1650;-1650;-1650;-1650
-1805;-1900;-2050;-2280;-2620
