e6;e7;e8;e9;e10;e11
;;;;;
-14;-14;-14;-14;-14;-14
-20;-24;-28;-39;-54;-74
-20;-20;-20;-20;-20;-20
-28;-32;-38;-50;-68;-95
-25;-25;-25;-25;-25;-25
-34;-40;-47;-61;-83;-115
-32;-32;-32;-32;-32;-32
-43;-50;-59;-75;-102;-142
-32;-32;-32;-32;-32;-32
-43;-50;-59;-75;-102;-142
-40;-40;-40;-40;-40;-40
-53;-61;-73;-92;-124;-170
-40;-40;-40;-40;-40;-40
-53;-61;-73;-92;-124;-170
-50;-50;-50;-50;-50;-50
-66;-75;-89;-112;-150;-210
-50;-50;-50;-50;-50;-50
-66;-75;-89;-112;-150;-210
-60;-60;-60;-60;-60;-60
-79;-90;-106;-134;-180;-250
-60;-60;-60;-60;-60;-60
-79;-90;-106;-134;-180;-250
-72;-72;-72;-72;-72;-72
-94;-107;-126;-159;-212;-292
-72;-72;-72;-72;-72;-72
-94;-107;-126;-159;-212;-292
-85;-85;-85;-85;-85;-85
-110;-125;-148;-185;-245;-335
-85;-85;-85;-85;-85;-85
-110;-125;-148;-185;-245;-335
-85;-85;-85;-85;-85;-85
-110;-125;-148;-185;-245;-335
-100;-100;-100;-100;-100;-100
-129;-146;-172;-215;-285;-390
-100;-100;-100;-100;-100;-100
-129;-146;-172;-215;-285;-390
-100;-100;-100;-100;-100;-100
-129;-146;-172;-215;-285;-390
-110;-110;-110;-110;-110;-110
-142;-162;-191;-240;-320;-430
-110;-110;-110;-110;-110;-110
-142;-162;-191;-240;-320;-430
-125;-125;-125;-125;-125;-125
-161;-182;-214;-265;-355;-485
-125;-125;-125;-125;-125;-125
-161;-182;-214;-265;-355;-485
-135;-135;-135;-135;-135;-135
-175;-198;-232;-290;-385;-535
-135;-135;-135;-135;-135;-135
-175;-198;-232;-290;-385;-535
