h3;h4;h5;h6;h7;h8;h9;h10;h11;h12;h13
;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0
-2;-3;-4;-6;-10;-14;-25;-40;-60;-100;-140
0;0;0;0;0;0;0;0;0;0;0
-2,5;-4;-5;-8;-12;-18;-30;-48;-75;-120;-180
0;0;0;0;0;0;0;0;0;0;0
-3;-5;-6;-9;-15;-22;-36;-58;-90;-150;-220
0;0;0;0;0;0;0;0;0;0;0
-4;-6;-8;-11;-18;-27;-43;-70;-110;-180;-270
0;0;0;0;0;0;0;0;0;0;0
-4;-6;-8;-11;-18;-27;-43;-70;-110;-180;-270
0;0;0;0;0;0;0;0;0;0;0
-4;-6;-9;-13;-21;-33;-52;-84;-130;-210;-330
0;0;0;0;0;0;0;0;0;0;0
-4;-6;-9;-13;-21;-33;-52;-84;-130;-210;-330
0;0;0;0;0;0;0;0;0;0;0
-4;-7;-11;-16;-25;-39;-62;-100;-160;-250;-390
0;0;0;0;0;0;0;0;0;0;0
-4;-7;-11;-16;-25;-39;-62;-100;-160;-250;-390
0;0;0;0;0;0;0;0;0;0;0
-5;-8;-13;-19;-30;-46;-74;-120;-190;-300;-460
0;0;0;0;0;0;0;0;0;0;0
-5;-8;-13;-19;-30;-46;-74;-120;-190;-300;-460
0;0;0;0;0;0;0;0;0;0;0
-6;-10;-15;-22;-35;-54;-87;-140;-220;-350;-540
0;0;0;0;0;0;0;0;0;0;0
-6;-10;-15;-22;-35;-54;-87;-140;-220;-350;-540
0;0;0;0;0;0;0;0;0;0;0
-8;-12;-18;-25;-40;-63;-100;-160;-250;-400;-630
0;0;0;0;0;0;0;0;0;0;0
-8;-12;-18;-25;-40;-63;-100;-160;-250;-400;-630
0;0;0;0;0;0;0;0;0;0;0
-8;-12;-18;-25;-40;-63;-100;-160;-250;-400;-630
0;0;0;0;0;0;0;0;0;0;0
-10;-14;-20;-29;-46;-72;-115;-185;-290;-460;-720
0;0;0;0;0;0;0;0;0;0;0
-10;-14;-20;-29;-46;-72;-115;-185;-290;-460;-720
0;0;0;0;0;0;0;0;0;0;0
-10;-14;-20;-29;-46;-72;-115;-185;-290;-460;-720
0;0;0;0;0;0;0;0;0;0;0
-12;-16;-23;-32;-52;-81;-130;-210;-320;-520;-810
0;0;0;0;0;0;0;0;0;0;0
-12;-16;-23;-32;-52;-81;-130;-210;-320;-520;-810
0;0;0;0;0;0;0;0;0;0;0
-13;-18;-25;-36;-57;-89;-140;-230;-360;-570;-890
0;0;0;0;0;0;0;0;0;0;0
-13;-18;-25;-36;-57;-89;-140;-230;-360;-570;-890
0;0;0;0;0;0;0;0;0;0;0
-15;-20;-27;-40;-63;-97;-155;-250;-400;-630;-970
0;0;0;0;0;0;0;0;0;0;0
-15;-20;-27;-40;-63;-97;-155;-250;-400;-630;-970
