k5;k6;k7;k8;k9;k10;k11
;;;;;;
4;6;10;14;25;40;60
0;0;0;0;0;0;0
6;9;13;18;30;48;75
1;1;1;0;0;0;0
7;10;16;22;36;58;90
1;1;1;0;0;0;0
9;12;19;27;43;70;110
1;1;1;0;0;0;0
9;12;19;27;43;70;110
1;1;1;0;0;0;0
11;15;23;33;52;84;130
2;2;2;0;0;0;0
11;15;23;33;52;84;130
2;2;2;0;0;0;0
13;18;27;39;62;100;160
2;2;2;0;0;0;0
13;18;27;39;62;100;160
2;2;2;0;0;0;0
15;21;32;46;74;120;190
2;2;2;0;0;0;0
15;21;32;46;74;120;190
2;2;2;0;0;0;0
18;25;38;54;87;140;220
3;3;3;0;0;0;0
18;25;38;54;87;140;220
3;3;3;0;0;0;0
21;28;43;63;100;160;250
3;3;3;0;0;0;0
21;28;43;63;100;160;250
3;3;3;0;0;0;0
21;28;43;63;100;160;250
3;3;3;0;0;0;0
24;33;50;72;115;185;290
4;4;4;0;0;0;0
24;33;50;72;115;185;290
4;4;4;0;0;0;0
24;33;50;72;115;185;290
4;4;4;0;0;0;0
27;36;56;81;130;210;320
4;4;4;0;0;0;0
27;36;56;81;130;210;320
4;4;4;0;0;0;0
29;40;61;89;140;230;360
4;4;4;0;0;0;0
29;40;61;89;140;230;360
4;4;4;0;0;0;0
32;45;68;97;155;250;400
5;5;5;0;0;0;0
32;45;68;97;155;250;400
5;5;5;0;0;0;0
