r5;r6;r7;r8
;;;
14;16;20;24
10;10;10;10
20;23;27;33
15;15;15;15
25;28;34;41
19;19;19;19
31;34;41;50
23;23;23;23
31;34;41;50
23;23;23;23
37;41;49;61
28;28;28;28
37;41;49;61
28;28;28;28
45;50;59;73
34;34;34;34
45;50;59;73
34;34;34;34
54;60;71;87
41;41;41;41
56;62;73;89
43;43;43;43
66;73;86;97
51;51;51;51
69;76;89;105
54;54;54;54
81;88;103;126
63;63;63;63
83;90;105;128
65;65;65;65
86;93;108;131
68;68;68;68
97;106;123;149
77;77;77;77
100;109;126;152
80;80;80;80
104;113;130;156
84;84;84;84
117;126;146;175
94;94;94;94
121;130;150;179
98;98;98;98
133;144;165;197
108;108;108;108
139;150;171;203
114;114;114;114
153;166;189;223
126;126;126;126
159;172;195;229
132;132;132;132
