u5;u6;u7;u8;u9;u10;u11
;;;;;;
22;24;28;32;43;58;78
18;18;18;18;18;18;18
28;31;35;41;53;71;98
23;23;23;23;23;23;23
34;37;43;50;64;86;118
28;28;28;28;28;28;28
41;44;51;60;76;103;143
33;33;33;33;33;33;33
41;44;51;60;76;103;143
33;33;33;33;33;33;33
50;54;62;74;93;125;171
41;41;41;41;41;41;41
57;61;69;81;100;132;178
48;48;48;48;48;48;48
71;76;85;99;122;160;220
60;60;60;60;60;60;60
81;86;95;109;132;170;230
70;70;70;70;70;70;70
100;106;117;133;161;207;277
87;87;87;87;87;87;87
115;121;132;148;176;222;292
102;102;102;102;102;102;102
139;146;159;178;211;264;344
124;124;124;124;124;124;124
159;166;179;198;231;284;364
144;144;144;144;144;144;144
188;195;210;233;270;330;420
170;170;170;170;170;170;170
208;215;230;253;290;350;440
190;190;190;190;190;190;190
228;235;250;273;310;370;460
210;210;210;210;210;210;210
256;265;282;308;351;421;526
236;236;236;236;236;236;236
278;287;304;330;373;443;548
258;258;258;258;258;258;258
304;313;330;356;399;469;574
284;284;284;284;284;284;284
338;347;367;396;445;525;635
315;315;315;315;315;315;315
373;382;402;431;480;560;670
350;350;350;350;350;350;350
415;426;447;479;530;620;750
390;390;390;390;390;390;390
450;471;492;524;575;665;795
435;435;435;435;435;435;435
517;530;553;587;645;740;890
490;490;490;490;490;490;490
557;580;603;637;695;790;940
540;540;540;540;540;540;540
