x6;x7;x8;x9;x10;x11
;;;;;
26;30;34;45;60;80
20;20;20;20;20;20
36;40;46;58;76;103
28;28;28;28;28;28
43;49;56;70;92;124
34;34;34;34;34;34
61;58;67;83;110;150
40;40;40;40;40;40
56;63;72;88;115;155
45;45;45;45;45;45
67;75;87;106;138;184
54;54;54;54;54;54
77;85;97;116;148;194
64;64;64;64;64;64
96;105;119;142;180;240
80;80;80;80;80;80
113;122;136;159;197;257
97;97;97;97;97;97
141;152;168;196;242;312
122;122;122;122;122;122
165;176;192;220;266;336
146;146;146;146;146;146
200;213;232;265;318;398
178;178;178;178;178;178
232;245;264;297;350;430
210;210;210;210;210;210
273;288;311;348;408;498
248;248;248;248;248;248
305;320;343;380;440;530
280;280;280;280;280;280
335;350;373;410;470;560
310;310;310;310;310;310
379;396;422;465;535;640
350;350;350;350;350;350
414;431;457;500;570;675
385;385;385;385;385;385
454;471;497;540;610;715
425;425;425;425;425;425
507;527;556;605;685;795
475;475;475;475;475;475
557;577;606;655;735;845
525;525;525;525;525;525
626;647;679;730;820;950
590;590;590;590;590;590
696;717;749;800;890;1020
660;660;660;660;660;660
780;803;837;895;990;1140
740;740;740;740;740;740
860;883;917;975;1070;1220
820;820;820;820;820;820
