z6;z7;z8;z9;z10;z11
;;;;;
32;36;40;51;66;86
26;26;26;26;26;26
43;47;53;65;83;110
35;35;35;35;35;35
51;57;64;78;100;132
42;42;42;42;42;42
61;68;77;93;120;160
50;50;50;50;50;50
71;78;87;103;130;170
60;60;60;60;60;60
86;94;106;125;157;203
73;73;73;73;73;73
101;109;121;140;172;218
88;88;88;88;88;88
128;137;151;174;212;272
112;112;112;112;112;112
152;161;175;198;236;296
136;136;136;136;136;136
191;202;218;246;292;362
172;172;172;172;172;172
229;240;256;284;330;400
210;210;210;210;210;210
280;293;312;345;398;478
258;258;258;258;258;258
332;345;364;397;450;530
310;310;310;310;310;310
390;405;428;465;525;615
365;365;365;365;365;365
440;455;478;515;575;665
415;415;415;415;415;415
490;505;528;565;625;715
465;465;465;465;465;465
549;566;592;635;705;810
520;520;520;520;520;520
604;621;643;690;760;865
575;575;575;575;575;575
669;686;712;755;825;930
640;640;640;640;640;640
742;762;791;840;920;1030
710;710;710;710;710;710
822;842;871;920;1000;1110
790;790;790;790;790;790
936;957;989;1040;1130;1260
900;900;900;900;900;900
1036;1057;1089;1140;1230;1360
1000;1000;1000;1000;1000;1000
1140;1163;1197;1255;1350;1500
1100;1100;1100;1100;1100;1100
1290;1313;1347;1405;1500;1650
1250;1250;1250;1250;1250;1250
