za6;za7;za8;za9;za10;za11
;;;;;
38;42;46;57;72;92
32;32;32;32;32;32
50;54;60;72;90;117
42;42;42;42;42;42
61;67;74;88;110;142
52;52;52;52;52;52
75;82;91;107;134;174
64;64;64;64;64;64
88;95;104;120;147;187
77;77;77;77;77;77
111;119;131;150;182;228
98;98;98;98;98;98
131;139;151;170;202;248
118;118;118;118;118;118
164;173;187;210;248;308
148;148;148;148;148;148
205;205;219;242;280;340
180;180;180;180;180;180
245;256;272;300;346;416
226;226;226;226;226;226
293;304;320;348;394;464
274;274;274;274;274;274
357;370;389;422;475;555
335;335;335;335;335;335
422;435;454;487;540;620
400;400;400;400;400;400
495;510;533;570;630;720
470;470;470;470;470;470
560;575;598;635;695;785
535;535;535;535;535;535
625;640;663;700;760;850
600;600;600;600;600;600
699;716;742;785;855;960
670;670;670;670;670;670
769;786;812;855;925;1030
740;740;740;740;740;740
849;866;892;935;1005;1110
820;820;820;820;820;820
952;972;1001;1050;1130;1240
920;920;920;920;920;920
1032;1052;1081;1130;1210;1320
1000;1000;1000;1000;1000;1000
1186;1207;1239;1290;1380;1510
1150;1150;1150;1150;1150;1150
1336;1357;1389;1440;1530;1660
1300;1300;1300;1300;1300;1300
1490;1513;1547;1605;1700;1850
1450;1450;1450;1450;1450;1450
1640;1663;1697;1755;1850;2000
1600;1600;1600;1600;1600;1600
