zc6;zc7;zc8;zc9;zc10;zc11
;;;;;
66;70;74;85;100;120
60;60;60;60;60;60
88;92;98;110;128;155
80;80;80;80;80;80
106;112;119;133;155;187
97;97;97;97;97;97
141;148;157;173;200;240
130;130;130;130;130;130
161;168;177;193;220;260
150;150;150;150;150;150
201;209;221;240;272;318
188;188;188;188;188;188
231;239;251;270;302;348
218;218;218;218;218;218
290;299;313;336;374;434
274;274;274;274;274;274
350;350;364;387;425;485
325;325;325;325;325;325
424;435;451;479;525;595
405;405;405;405;405;405
499;510;526;554;600;670
480;480;480;480;480;480
607;620;639;672;725;805
585;585;585;585;585;585
712;725;744;777;830;910
690;690;690;690;690;690
825;840;863;900;960;1050
800;800;800;800;800;800
925;940;963;1000;1060;1150
900;900;900;900;900;900
1025;1040;1063;1100;1160;1250
1000;1000;1000;1000;1000;1000
1179;1196;1222;1265;1335;1440
1150;1150;1150;1150;1150;1150
1279;1296;1322;1365;1435;1540
1250;1250;1250;1250;1250;1250
1379;1396;1422;1465;1535;1640
1350;1350;1350;1350;1350;1350
1582;1602;1631;1680;1760;1870
1550;1550;1550;1550;1550;1550
1732;1752;1781;1830;1910;2020
1700;1700;1700;1700;1700;1700
1936;1957;1989;2040;2130;2260
1900;1900;1900;1900;1900;1900
2136;2157;2189;2240;2330;2460
2100;2100;2100;2100;2100;2100
2440;2463;2497;2555;2650;2800
2400;2400;2400;2400;2400;2400
2640;2663;2697;2755;2850;3000
2600;2600;2600;2600;2600;2600
